26459660;RTHTGakaRoland;2016-04-12 22:59:51;#NeverTrump\nDonald Trump’s Organizational Failure in Colorado Shows He’s Totally Unprepared to Be President\n
2572888249;_neal_is_broad;2016-04-12 22:59:51;RT  DONALD TRUMP RALLY vs BERNIE SANDERS RALLY 
540472551;MG4NoH8;2016-04-12 22:59:51;RT  Hillary Clinton Wages Two-Front Battle Against Bernie Sanders, Donald Trump  #ImWithHer #AYearWithHer
569612713;dawalf;2016-04-12 22:59:52;RT  "The legacy of Donald #Trump’s 30 years of leadership is everywhere- not only in the tall buildings.." #Trump2016\n
1692401;kerning;2016-04-12 22:59:52;sometimes i want to just put a cute photo of a koala on the front page instead of another photo of donald trump or hillary clinton.
44664652;TAGIII;2016-04-12 22:59:52;RT  Trump has demonstrated real leadership in the private sector where people’s livelihoods depended on his vision 
3266230939;mayra89006838;2016-04-12 22:59:52;LIVE Donald Trump Rome New York Rally Griffiss International Airport FUL...  via 
3144751239;queerrogers;2016-04-12 22:59:52;RT  RT for this brick wall\nFav for Donald Trump 
298510980;notbaldr2fat;2016-04-12 22:59:53;RT  Exactly why we DO love Donald Trump!\n✔️ VOTE #Trump2016 #NY\n#NYPrimary\n#NYValues\n#MakeAmericaGreatAgain 
742170631;lifelovelovatic;2016-04-12 22:59:53;. the original 😎 
4501660992;Nickdeluca2016;2016-04-12 22:59:53;RT  Watch Trump Townhall on CNN at 9PM ET with his wife Melania &amp; Ivanka, Donald Jr, Eric Trump #TrumpFamily #Trump2016 ht…
463236395;Iammzsmit;2016-04-12 22:59:53;RT  Watch Trump Townhall on CNN at 9PM ET with his wife Melania &amp; Ivanka, Donald Jr, Eric Trump #TrumpFamily #Trump2016 ht…
2462598046;lifelarrysafe;2016-04-12 22:59:54;RT  Donald Trump rally vs. Bernie Sander rally 
723358148;_peachxs;2016-04-12 22:59:54;RT  Donald Trump might not know what the word "winning" means...\n
188317155;Auntiemels;2016-04-12 22:59:54;   \nEvery GOP House seat is up 4 re-election Nov 2016 so we w/ c just how many ppl want 2 keep status quo
1109919253;SeriousEntPromo;2016-04-12 22:59:55; new single Kill Donald Trump by   dropped today worldwide go get it on  &amp; 
4422392953;miller2877;2016-04-12 22:59:55;RT  OBSERVER ENDORSES TRUMP: Giving millions of disillusioned Americans a renewed sense of purpose &amp; opportunity is 
436964390;joeseph0119;2016-04-12 22:59:55;RT  Donald Trump rally vs. Bernie Sander rally 
4889641155;searcherhosting;2016-04-12 22:59:55;Donald Trump Upset Over Rigged Election Process\n\n**HELP SPREAD THIS VIDEO ...\n 
33270656;jenilynn1001;2016-04-12 22:59:55;RT  Open-Borders, Pro-Illegal/Muslim, JINO👉Mark Zuckerberg slams Trump 4 wanting 2 Build a Wall!  
97047728;ToddAaronDoyle;2016-04-12 22:59:55;Donald Trump Full Speech in South Carolina 8/21/2015 – 2016 Presidential Campaign Rally �� 
525641456;CarolHello1;2016-04-12 22:59:55;🚂🇺🇸Natl Security★Donald Trump★Mighty Military🇺🇸\n\nTed Cruz Cheater #CruzSexScandal Colorado\n\n🚂🇺🇸USA🇺🇸\n
622387870;brettpetersonn;2016-04-12 22:59:55;Hatred vs. kindness 
249834556;blackopsTX;2016-04-12 22:59:55;RT  “The Adult in the Room, Donald Trump”, Ben Garrison Cartoon  
80626778;lizzydebbie;2016-04-12 22:59:55;Full Speech: Donald Trump Rally in Rome, NY (4-12-16) LIVE Donald Trump ...  via 
1099575775;BigGuyMovie;2016-04-12 22:59:56;  A video on 2016 election fraud in the democratic primary against Sanders.
41680891;FreshTemister;2016-04-12 22:59:56;RT  Donald Trump rally vs. Bernie Sander rally 
432081929;obeytheCOW;2016-04-12 22:59:57;RT  Donald Trump rally vs. Bernie Sander rally 
2731795879;twinrj;2016-04-12 22:59:57;RT  Donald Trump rally vs. Bernie Sander rally 
2417213628;cambuslad;2016-04-12 22:59:57;RT    Maybe do a little research next time!\n 
4869448667;EagleEyeFlyer;2016-04-12 22:59:57;RT  🚂🇺🇸Natl Security★Donald Trump★Mighty Military🇺🇸\n\nTed Cruz Cheater #CruzSexScandal Colorado\n\n🚂🇺🇸★US★🇺🇸\n
65541738;MeanMUGGING___;2016-04-12 22:59:58;RT  Donald Trump rally VS Bernie Sanders rally. 
2276774508;Terah_Ramandi;2016-04-12 22:59:58;RT  America  
2813477054;londonsteve79;2016-04-12 22:59:59;Watching The Purge film. It sounds like something Donald Trump would introduce if he becomes President.
2759851372;julissa_deanne;2016-04-12 22:59:59;RT  Donald Trump rally vs. Bernie Sander rally 
4872648885;peachesgirli23;2016-04-12 22:59:59;RT  Donald Trump gained additional votes in the Missouri recount and received an extra 12 delegates! #MakeAmericaGreatAgai…
896709289;tyleramaya4;2016-04-12 22:59:59;RT  Donald Trump rally vs. Bernie Sander rally 
4422984375;philmonaco67;2016-04-12 22:59:59;RT  Election fraud specialist  ridicules  #MAGA  
3141423371;Maddeh__;2016-04-12 22:59:59;RT  I STILL BELIEVE DONALD TRUMP!!!! 
25314856;harperbulletin;2016-04-12 23:00:00;What Reagan knew: A teachable moment for Donald Trump  via 
291407420;Ryno2233;2016-04-12 23:00:00;RT  We all know a dumbass named Donald Trump
